origin_date,model,horizon,mae,rmse,mape,smape
2026-03-31,moving_average_7,H+7,1339071.4285714286,1345398.8768224472,86.16481683161584,151.4265150011521
2026-03-31,lstm_global,H+1,1201689.375,1201689.375,77.95584657800843,127.75023529142085
2026-03-31,lstm_global,H+3,1226044.2083333333,1226312.1397988852,74.66934286547175,119.3630734040255
2026-03-31,lstm_global,H+7,1097534.6205357143,1126213.524625275,70.69347736302272,114.24219381885466
2026-03-31,lstm_finetuned,H+1,1201689.375,1201689.375,77.95584657800843,127.75023529142085
2026-03-31,lstm_finetuned,H+3,1226044.2083333333,1226312.1397988852,74.66934286547175,119.3630734040255
2026-03-31,lstm_finetuned,H+7,1097534.6205357143,1126213.524625275,70.69347736302272,114.24219381885466
2026-04-10,naive,H+1,255500.0,255500.0,18.642831083546152,17.05322876689471
2026-04-10,naive,H+3,346000.0,358529.17129107733,27.749298719640432,24.051293669733738
2026-04-10,naive,H+7,650714.2857142857,728858.5988673366,89.67319789311307,52.36786494697413
2026-04-10,seasonal_naive,H+1,171000.0,171000.0,12.477198102882161,11.744505494505495
2026-04-10,seasonal_naive,H+3,365000.0,401168.9170411885,29.647555562695686,25.02984682559775
2026-04-10,seasonal_naive,H+7,576928.5714285715,628040.4047511593,75.66370972068813,48.47294393400778
2026-04-10,moving_average_7,H+1,181714.28571428568,181714.28571428568,13.258977432636678,12.43462534825749
2026-04-10,moving_average_7,H+3,272214.2857142857,287971.8458697055,21.952205696560632,19.468782832770838
2026-04-10,moving_average_7,H+7,598010.2040816325,682435.6477099552,82.3626141771888,49.45825889563768
2026-04-10,lstm_global,H+1,890185.34375,890185.34375,64.9533267967895,96.19389394220981
2026-04-10,lstm_global,H+3,730084.1770833334,748787.204878147,56.359632494361676,79.58953986218066
2026-04-10,lstm_global,H+7,606766.3348214285,741343.4879826024,51.221225578274684,79.64225362388814
2026-04-10,lstm_finetuned,H+1,890185.34375,890185.34375,64.9533267967895,96.19389394220981
2026-04-10,lstm_finetuned,H+3,730084.1770833334,748787.204878147,56.359632494361676,79.58953986218066
2026-04-10,lstm_finetuned,H+7,606766.3348214285,741343.4879826024,51.221225578274684,79.64225362388814
2026-04-21,naive,H+1,143000.0,143000.0,6.050349058599534,6.239092495636998
2026-04-21,naive,H+3,310833.3333333333,340089.3265011415,12.017923226411202,12.924944694594176
2026-04-21,naive,H+7,453500.0,557336.0425144908,15.93199126732403,17.822038260281214
2026-04-21,seasonal_naive,H+1,993000.0,993000.0,42.01396234398138,53.186930905195496
2026-04-21,seasonal_naive,H+3,1251333.3333333333,1264597.1031650093,49.23231529933248,65.62937680637387
2026-04-21,seasonal_naive,H+7,1496285.7142857143,1567961.324231473,57.083729161336905,84.0596168040319
2026-04-21,moving_average_7,H+1,1218357.142857143,1218357.142857143,51.548853093172966,69.44891187068667
2026-04-21,moving_average_7,H+3,1386190.4761904764,1393042.5065912628,54.62641442293642,75.23290592802515
2026-04-21,moving_average_7,H+7,1496285.7142857143,1540231.6516733211,55.847539273169154,77.94498784237588
2026-04-21,lstm_global,H+1,1856049.1875,1856049.1875,78.52968849164374,129.29857101130673
2026-04-21,lstm_global,H+3,1979552.0208333333,1984292.2940623,78.16021814013568,128.38442117126053
2026-04-21,lstm_global,H+7,2094850.0717075893,2153341.511589463,78.53304480336172,133.2714289024523
2026-04-21,lstm_finetuned,H+1,1856049.1875,1856049.1875,78.52968849164374,129.29857101130673
2026-04-21,lstm_finetuned,H+3,1979552.0208333333,1984292.2940623,78.16021814013568,128.38442117126053
2026-04-21,lstm_finetuned,H+7,2094850.0717075893,2153341.511589463,78.53304480336172,133.2714289024523
2026-04-30,naive,H+1,604500.0,604500.0,21.8625678119349,19.70820767788736
2026-04-30,naive,H+3,372833.3333333333,421781.4402428506,12.838997708031416,11.871473559520979
2026-04-30,naive,H+7,369071.4285714286,435008.25115327246,12.586749232247588,11.674332124320996
2026-04-30,seasonal_naive,H+1,401500.0,401500.0,14.520795660036168,15.657599688017939
2026-04-30,seasonal_naive,H+3,547000.0,623170.2549598037,17.127623372234886,19.12747138158425
2026-04-30,seasonal_naive,H+7,603000.0,783610.2347468415,17.757478059002604,20.510869678267106
2026-04-30,moving_average_7,H+1,123571.42857142864,123571.42857142864,4.469129423921469,4.571277579601007
2026-04-30,moving_average_7,H+3,436904.76190476195,532923.3777294934,13.37625781542218,14.761906879664668
2026-04-30,moving_average_7,H+7,507122.4489795919,628751.4596079946,14.937948020272692,16.769667288389485
2026-04-30,lstm_global,H+1,2169668.1875,2169668.1875,78.46901220614828,129.13416344356915
2026-04-30,lstm_global,H+3,2435796.125,2448109.677053665,79.11417340431215,130.89738013909374
2026-04-30,lstm_global,H+7,2513372.8125,2532535.4155851332,80.4699527395692,137.3837690178997
2026-04-30,lstm_finetuned,H+1,2169668.1875,2169668.1875,78.46901220614828,129.13416344356915
2026-04-30,lstm_finetuned,H+3,2435796.125,2448109.677053665,79.11417340431215,130.89738013909374
2026-04-30,lstm_finetuned,H+7,2513372.8125,2532535.4155851332,80.4699527395692,137.3837690178997
2026-05-12,naive,H+1,361000.0,361000.0,10.65053842749668,11.249610470551573
2026-05-12,naive,H+3,284166.6666666667,316856.03986668773,9.61734466237916,9.463660526832886
2026-05-12,naive,H+7,429357.14285714284,514553.100133643,17.40541794172997,15.506415945492572
2026-05-12,seasonal_naive,H+1,624500.0,624500.0,18.424546393273346,20.294093752538792
2026-05-12,seasonal_naive,H+3,543333.3333333334,622254.1013658863,18.63573874619061,17.72967808109509
2026-05-12,seasonal_naive,H+7,563142.8571428572,621533.7021088582,21.47855007292421,19.346072395731525
2026-05-12,moving_average_7,H+1,242500.0,242500.0,7.154447558636967,7.4198730207297485
2026-05-12,moving_average_7,H+3,265333.3333333333,333053.2990378567,9.352622260244885,8.838675166799275
2026-05-12,moving_average_7,H+7,455142.85714285716,576676.1284662797,18.929684682483202,16.3018201573122
2026-05-12,lstm_global,H+1,2627230.0,2627230.0,77.51084230712495,126.55951558010199
2026-05-12,lstm_global,H+3,2303063.625,2326168.778854412,75.35990204896349,121.1456970523906
2026-05-12,lstm_global,H+7,2105493.302176339,2163799.9924340644,75.126470989148,125.34786926331327
2026-05-12,lstm_finetuned,H+1,2627230.0,2627230.0,77.51084230712495,126.55951558010199
